Title,Year,Venue,Link
Blending Brains: Tales from the Neuro Department,2025,Blender Conference 2025,https://www.youtube.com/watch?v=Krr89_b0QAI
Predicting the connectome with neuron family trees,2021,NeuroMatch 4.0,https://www.youtube.com/watch?v=fEv94br2V00
